race,sex,age_cat,decile_score,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,length_of_stay,two_year_recid
0,1,1,6,2,-1.0,0,1,1,1,1
0,1,1,4,4,-1.0,0,0,0,0,0
0,0,1,1,2,0.0,0,0,0,0,0
0,1,0,8,0,-1.0,0,0,2,2,0
0,0,2,1,0,-1.0,0,0,0,0,0
0,0,0,4,0,-1.0,0,1,0,3,1
0,0,2,2,0,-1.0,0,0,0,1,0
1,1,1,5,0,0.0,0,0,1,0,0
1,1,1,6,0,-1.0,0,1,1,1,1
0,1,1,7,11,0.0,0,1,1,1,1
0,1,0,10,3,-1.0,1,1,2,1,1
1,0,0,3,1,-1.0,0,0,0,0,0
0,0,1,3,2,-1.0,1,0,0,0,0
0,1,2,6,3,0.0,0,1,1,24,1
0,1,1,1,0,-1.0,0,0,0,41,0
1,1,1,1,3,-4.0,0,0,0,2,0
1,1,2,1,1,-13.0,1,0,0,12,0
1,1,2,4,3,-1.0,0,0,0,14,0
0,1,0,9,0,-1.0,1,1,2,1,1
0,1,1,8,1,-1.0,1,1,2,1,1
1,1,1,4,5,-1.0,1,0,0,1,0
0,1,1,4,5,-1.0,1,0,0,0,0
1,1,0,5,0,0.0,0,1,1,0,1
0,1,1,4,5,-1.0,0,1,0,2,1
0,1,1,3,6,-1.0,0,1,0,2,1
1,1,2,3,2,-1.0,0,0,0,1,0
0,0,0,6,0,0.0,1,0,1,0,0
0,1,0,8,4,-11.0,1,1,2,11,1
1,1,2,1,0,0.0,0,0,0,1,0
1,1,1,3,5,-1.0,0,0,0,10,0
0,0,1,1,5,0.0,0,0,0,-1,0
0,1,1,1,0,0.0,1,0,0,0,0
1,1,1,1,0,-1.0,1,1,0,1,1
1,1,1,3,3,-1.0,1,1,0,0,1
1,0,1,2,0,-3.0,0,0,0,1,0
0,1,1,2,0,0.0,0,0,0,17,0
0,1,0,10,0,-1.0,0,1,2,0,1
1,0,2,1,0,0.0,1,0,0,1,0
1,1,2,1,0,0.0,1,0,0,1,0
0,1,1,9,7,-1.0,0,0,2,1,0
0,1,0,9,0,-1.0,0,1,2,209,1
1,1,1,5,8,-1.0,0,0,1,68,0
0,1,0,9,2,-1.0,0,1,2,19,1
1,1,2,6,36,-7.0,0,1,1,32,1
1,1,1,3,2,0.0,1,1,0,1,1
0,0,1,7,0,-1.0,0,0,1,12,0
1,0,1,4,2,-2.0,1,1,0,1,1
1,1,1,5,1,-4.0,0,0,1,1,0
0,0,0,8,0,-1.0,0,1,2,1,1
1,1,1,3,0,-1.0,1,0,0,0,0
0,1,0,3,0,-1.0,0,0,0,0,0
0,1,1,1,0,-1.0,0,0,0,1,0
1,0,1,6,0,0.0,1,0,1,3,0
0,1,1,9,12,-1.0,0,1,2,1,1
0,1,0,6,1,0.0,0,0,1,1,0
0,1,2,3,3,0.0,0,0,0,0,0
1,1,1,1,0,-1.0,0,0,0,19,0
0,1,0,10,2,-1.0,0,1,2,1,1
1,0,0,6,0,0.0,0,0,1,0,0
1,1,2,1,0,-1.0,1,0,0,0,0
1,1,0,6,2,-1.0,0,0,1,2,0
0,1,1,10,6,0.0,1,1,2,3,1
1,1,0,4,0,-2.0,0,0,0,0,0
0,0,0,5,0,-1.0,0,1,1,0,1
0,1,2,5,3,0.0,0,0,1,3,0
0,1,1,4,2,-1.0,1,1,0,50,0
1,0,2,1,0,-1.0,1,0,0,0,0
0,1,0,10,3,0.0,0,1,2,0,1
1,1,1,4,0,0.0,0,0,0,1,0
0,1,0,3,1,-1.0,0,1,0,-1,0
1,1,0,6,2,-1.0,1,1,1,0,1
0,1,0,9,4,-1.0,0,1,2,219,1
0,1,0,5,0,-1.0,0,1,1,12,1
1,1,1,1,1,0.0,1,0,0,0,0
1,0,2,1,1,-1.0,1,1,0,0,1
1,1,1,7,0,-1.0,0,1,1,8,1
0,1,1,8,7,-1.0,0,1,2,127,1
1,0,2,1,1,-1.0,1,0,0,0,0
0,0,0,4,0,-1.0,0,0,0,1,0
0,1,1,1,1,-12.0,0,0,0,4,0
0,1,1,3,1,-1.0,1,0,0,1,0
0,1,1,8,6,-1.0,0,1,2,1,1
0,1,0,9,4,-1.0,0,1,2,260,1
1,1,0,7,3,-8.0,1,0,1,5,0
0,1,1,9,23,-1.0,0,1,2,17,1
0,1,1,5,2,-1.0,0,0,1,5,0
0,1,2,1,2,-1.0,0,0,0,0,0
0,1,1,4,7,-1.0,0,1,0,1,0
1,1,2,8,23,-1.0,0,1,2,360,1
1,0,2,1,0,0.0,1,0,0,0,0
0,1,1,8,12,-1.0,0,1,2,31,1
0,1,1,9,5,0.0,0,1,2,51,0
1,1,1,3,3,0.0,1,0,0,0,0
0,1,1,7,14,-1.0,0,1,1,0,1
0,1,1,5,2,-1.0,0,0,1,1,0
0,1,0,9,0,0.0,1,1,2,21,1
1,1,1,2,0,0.0,0,0,0,0,0
0,1,2,3,5,-1.0,0,0,0,12,0
0,1,1,8,9,-1.0,0,1,2,52,1
1,1,2,1,4,-1.0,0,1,0,7,1
0,1,1,2,3,0.0,0,0,0,1,0
1,0,1,6,0,-2.0,1,0,1,0,0
1,1,2,1,0,-1.0,1,0,0,0,0
0,0,0,7,0,0.0,0,0,1,0,0
0,1,2,6,11,-1.0,0,0,1,110,0
1,1,1,2,0,0.0,1,1,0,0,1
1,1,0,3,0,-1.0,0,0,0,1,0
1,0,2,1,2,-23.0,1,0,0,1,0
0,1,1,3,7,0.0,1,1,0,1,1
1,1,0,5,1,-1.0,0,1,1,0,1
0,1,1,6,8,-1.0,0,1,1,3,1
0,1,0,7,0,0.0,0,1,1,0,1
1,1,1,6,0,0.0,1,1,1,5,1
0,1,2,7,21,-1.0,1,1,1,59,1
0,1,0,7,3,-1.0,0,0,1,106,0
1,1,1,4,0,0.0,0,0,0,0,0
0,1,2,5,1,-1.0,0,1,1,25,1
1,1,1,1,3,-22.0,1,0,0,-1,0
0,1,1,4,3,0.0,0,0,0,33,0
1,1,0,8,3,0.0,0,1,2,0,1
1,1,1,1,0,-1.0,0,0,0,1,0
0,1,1,6,2,-1.0,0,0,1,0,0
0,0,0,10,3,-1.0,0,1,2,1,1
1,1,0,10,1,-1.0,0,1,2,32,1
1,1,1,1,2,-1.0,1,0,0,0,0
1,0,0,5,0,0.0,0,0,1,0,0
1,1,1,1,0,0.0,1,0,0,0,0
0,1,0,10,1,-1.0,0,1,2,1,1
0,1,0,2,1,-1.0,1,1,0,1,1
1,1,2,1,4,-1.0,0,0,0,1,0
0,0,2,2,3,0.0,0,0,0,-1,0
0,1,1,1,1,0.0,1,0,0,4,0
0,1,1,3,5,-1.0,0,0,0,1,0
1,1,0,1,0,-1.0,1,0,0,0,0
0,0,2,10,2,-1.0,0,1,2,9,1
1,1,1,1,0,-1.0,1,1,0,3,1
0,1,1,8,13,-1.0,1,1,2,1,1
0,1,1,6,1,-1.0,1,1,1,13,1
0,1,1,5,3,0.0,0,1,1,1,1
1,1,2,5,6,-1.0,0,1,1,1,1
1,1,1,4,1,0.0,0,1,0,4,1
0,1,2,3,5,-1.0,0,1,0,118,1
0,1,1,9,10,-1.0,0,1,2,0,1
0,1,1,10,5,-1.0,0,0,2,1,0
1,1,2,1,2,-3.0,0,0,0,3,0
0,1,1,1,0,0.0,0,0,0,1,0
0,1,0,6,6,-1.0,0,1,1,0,0
0,1,2,9,28,-1.0,0,1,2,5,1
0,1,1,7,8,-1.0,0,1,1,10,1
0,0,0,9,6,-1.0,0,1,2,26,1
0,1,2,1,2,-26.0,1,0,0,0,0
0,1,2,6,12,-1.0,1,1,1,3,1
1,1,0,5,1,0.0,1,1,1,0,1
0,1,1,2,1,-1.0,1,0,0,0,0
0,1,0,10,1,0.0,0,1,2,2,1
1,1,2,1,0,0.0,0,0,0,35,0
1,1,1,2,3,-14.0,0,0,0,6,0
1,1,2,1,3,-1.0,0,0,0,0,0
1,1,1,6,4,-1.0,0,1,1,1,1
1,1,2,1,0,-2.0,0,0,0,0,0
1,1,2,1,1,-2.0,0,1,0,0,1
1,0,0,9,6,0.0,0,1,2,3,1
1,1,0,9,2,-1.0,1,1,2,8,1
0,1,1,2,1,-1.0,0,0,0,1,0
1,0,1,2,0,-1.0,1,0,0,1,0
1,1,1,4,0,0.0,1,1,0,1,1
0,1,2,1,0,-1.0,1,0,0,1,0
0,1,1,4,4,-1.0,0,1,0,8,1
1,0,2,1,0,-2.0,1,0,0,0,0
0,1,1,5,0,0.0,0,0,1,1,0
1,1,1,3,1,-1.0,1,1,0,1,1
0,1,2,6,33,0.0,0,1,1,13,1
1,1,1,5,2,0.0,0,0,1,0,0
1,1,2,1,1,-1.0,1,0,0,1,0
1,1,1,2,1,0.0,0,0,0,74,0
1,1,2,3,4,-1.0,1,0,0,0,0
0,0,1,2,0,-1.0,1,0,0,1,0
1,0,2,1,0,0.0,1,0,0,0,0
0,1,1,3,2,0.0,1,0,0,0,0
0,0,1,4,6,-1.0,0,0,0,52,0
0,1,2,7,10,-1.0,0,1,1,127,1
0,1,1,5,5,-1.0,0,1,1,2,1
1,1,0,2,0,0.0,0,0,0,1,0
1,1,2,7,1,-1.0,0,1,1,129,1
0,1,2,5,4,0.0,1,0,1,1,0
0,1,0,4,0,0.0,0,1,0,0,1
1,1,1,4,4,-5.0,0,1,0,5,1
1,1,0,2,0,-1.0,0,0,0,15,0
1,1,0,9,0,-1.0,1,0,2,1,0
1,1,1,4,6,-1.0,0,1,0,1,0
0,1,1,3,1,-1.0,1,1,0,0,1
0,1,1,2,0,-1.0,0,0,0,0,0
0,1,1,4,6,-1.0,0,1,0,4,1
1,1,1,1,1,-7.0,0,1,0,0,1
1,1,0,3,0,-1.0,0,1,0,-1,1
1,1,1,3,0,0.0,0,0,0,0,0
0,1,1,7,0,-1.0,0,0,1,2,0
0,1,1,7,14,-1.0,0,1,1,1,1
1,1,0,10,9,-23.0,1,1,2,10,1
1,1,2,1,1,0.0,1,0,0,0,0
0,1,1,9,5,-1.0,0,1,2,1,1
1,1,2,6,2,-1.0,0,1,1,0,1
0,1,1,3,1,0.0,1,0,0,0,0
1,1,0,2,2,-1.0,0,0,0,0,0
0,1,1,5,8,-1.0,0,0,1,1,0
0,1,2,6,6,-1.0,0,0,1,144,0
0,1,1,6,3,-1.0,0,1,1,1,0
0,1,1,3,3,-1.0,0,1,0,3,1
0,1,0,5,3,0.0,0,1,1,-1,1
1,1,2,1,1,-9.0,1,0,0,5,0
0,1,0,7,3,-11.0,0,1,1,7,1
0,1,2,3,3,-1.0,1,0,0,0,0
0,1,1,1,0,-1.0,0,0,0,9,0
1,1,1,6,1,-6.0,0,0,1,6,0
0,1,1,8,16,-1.0,0,1,2,1,1
0,0,1,3,0,0.0,1,0,0,1,0
0,1,0,5,1,0.0,0,0,1,0,0
1,1,1,4,2,-13.0,0,1,0,12,1
1,1,1,4,5,0.0,0,0,0,0,0
0,1,1,4,5,0.0,1,1,0,64,1
1,1,1,3,11,0.0,1,0,0,180,0
0,0,1,2,6,-1.0,0,1,0,1,1
1,1,1,1,0,0.0,1,0,0,0,0
0,1,1,7,15,0.0,0,1,1,0,0
0,0,1,3,0,-1.0,1,0,0,0,0
1,0,2,1,2,0.0,1,1,0,0,1
1,1,2,1,5,-1.0,0,1,0,1,1
1,1,2,1,0,0.0,1,1,0,0,1
1,0,2,1,0,-1.0,1,0,0,1,0
0,1,1,6,5,-1.0,0,1,1,1,1
1,0,0,3,0,0.0,1,0,0,-1,0
1,1,0,4,1,-1.0,1,0,0,9,0
0,1,1,3,0,-1.0,1,1,0,0,0
1,0,0,7,0,-1.0,0,0,1,2,0
0,1,1,2,0,-1.0,1,0,0,1,0
1,0,0,5,0,0.0,0,0,1,0,0
0,1,0,3,1,-1.0,0,0,0,0,0
0,1,1,8,3,-20.0,1,1,2,19,1
0,1,1,7,3,-1.0,1,1,1,6,1
0,1,1,2,0,-1.0,0,0,0,1,0
0,1,0,10,11,0.0,0,1,2,0,1
0,0,1,1,1,-1.0,0,0,0,0,0
0,1,1,7,1,0.0,1,0,1,0,0
1,1,1,6,6,-1.0,0,1,1,34,1
1,0,2,1,0,0.0,1,0,0,0,0
1,1,1,1,2,-2.0,1,0,0,1,0
0,1,1,7,5,0.0,1,1,1,1,1
1,1,1,1,0,0.0,0,0,0,0,0
0,1,0,8,0,-1.0,0,1,2,0,1
0,1,1,5,4,-1.0,0,1,1,31,1
1,1,2,1,0,0.0,1,0,0,0,0
1,1,1,2,2,29.0,1,1,0,25,1
0,1,1,3,10,0.0,0,0,0,0,0
0,1,2,3,9,0.0,1,1,0,3,1
1,0,0,10,3,-1.0,0,0,2,5,0
0,0,0,5,0,-1.0,1,0,1,7,0
1,0,0,10,2,-2.0,0,1,2,22,1
0,1,1,1,1,-27.0,1,0,0,-1,0
0,1,1,1,0,0.0,1,0,0,0,0
0,1,2,6,15,-1.0,0,1,1,1,1
0,1,0,9,4,-1.0,0,1,2,2,1
1,1,1,7,3,-1.0,0,1,1,1,1
1,1,1,9,5,0.0,1,0,2,1,0
1,1,1,5,1,-1.0,0,0,1,1,0
1,1,0,5,3,-1.0,0,1,1,9,1
0,1,1,1,0,-1.0,0,0,0,1,0
0,1,1,9,18,0.0,0,1,2,0,1
1,0,1,3,0,0.0,0,1,0,-1,1
0,0,2,2,4,-14.0,0,1,0,1,1
1,0,2,4,0,-1.0,1,1,0,1,1
0,1,0,3,0,-1.0,0,0,0,0,0
0,0,0,8,0,-1.0,0,0,2,1,0
0,1,1,2,0,-1.0,0,0,0,2,0
0,1,1,8,8,-1.0,0,1,2,1,1
0,0,1,6,10,-1.0,0,0,1,0,0
1,0,2,6,1,0.0,0,0,1,1,0
1,1,1,2,2,-13.0,0,1,0,4,1
0,1,1,8,0,-1.0,0,1,2,1,1
0,1,0,4,1,-1.0,0,1,0,1,1
0,1,1,7,13,-1.0,0,1,1,2,1
1,1,1,1,1,-1.0,0,1,0,0,1
0,1,1,10,23,0.0,0,1,2,55,1
0,1,2,9,20,-1.0,0,0,2,1,0
0,1,0,7,3,-1.0,0,0,1,0,0
0,1,1,9,1,-1.0,1,1,2,79,1
0,1,2,2,2,-18.0,1,1,0,5,1
0,1,1,4,0,-1.0,1,0,0,1,0
0,0,1,3,0,-1.0,0,0,0,1,0
1,1,2,1,1,-10.0,1,0,0,1,0
0,1,0,5,0,-1.0,0,0,1,0,0
0,1,1,4,11,-1.0,0,0,0,1,0
0,0,1,1,0,0.0,1,0,0,-1,0
1,0,2,3,2,26.0,0,0,0,29,0
0,1,1,2,0,-1.0,1,0,0,1,0
0,1,1,7,0,-1.0,1,1,1,0,1
0,1,2,9,17,-1.0,0,1,2,6,1
0,1,0,9,3,0.0,0,0,2,323,0
1,0,1,2,0,-1.0,1,0,0,0,0
1,0,1,9,15,-4.0,0,1,2,3,1
0,1,0,10,2,0.0,1,1,2,80,1
0,1,1,4,3,-1.0,0,0,0,0,0
1,1,2,1,3,-3.0,0,1,0,0,1
0,1,1,7,5,-1.0,0,0,1,6,0
0,1,1,5,4,-1.0,1,0,1,2,0
0,1,1,8,14,-1.0,0,1,2,1,1
1,1,2,1,2,-2.0,0,0,0,0,0
0,1,1,2,3,-1.0,1,1,0,1,1
1,1,2,5,2,0.0,0,1,1,2,1
0,1,2,7,20,0.0,0,1,1,33,1
0,1,1,4,2,-1.0,1,0,0,6,0
0,1,0,6,1,-1.0,1,0,1,1,0
0,1,1,1,1,-1.0,0,0,0,1,0
0,1,2,1,0,-1.0,0,0,0,1,0
0,1,1,3,6,0.0,0,0,0,1,0
0,1,1,6,10,-6.0,1,1,1,5,1
0,1,1,8,10,0.0,0,1,2,0,1
1,1,1,2,1,-1.0,0,0,0,1,0
1,0,2,3,9,0.0,0,1,0,384,1
1,1,2,1,1,-6.0,0,0,0,6,0
0,1,1,1,0,-1.0,0,0,0,1,0
1,0,2,8,2,-1.0,0,0,2,19,0
0,1,0,5,0,-1.0,0,1,1,1,1
0,1,2,8,18,-1.0,0,1,2,248,1
0,1,2,1,0,-1.0,1,0,0,1,0
0,1,0,5,1,-1.0,0,0,1,0,0
1,1,1,2,1,0.0,0,1,0,16,1
1,1,2,1,0,-1.0,0,0,0,2,0
1,1,1,1,0,0.0,1,1,0,-1,1
1,1,0,2,0,-1.0,1,0,0,1,0
1,1,1,2,0,-1.0,0,1,0,0,1
1,1,2,1,0,-1.0,1,0,0,3,0
1,1,0,3,1,-1.0,0,0,0,0,0
0,1,0,8,0,0.0,0,0,2,0,0
1,1,1,1,1,-1.0,0,0,0,0,0
1,1,0,4,1,-1.0,0,1,0,1,1
0,1,2,4,0,-1.0,0,1,0,2,1
0,0,1,10,4,-1.0,0,1,2,0,1
0,1,2,6,2,0.0,0,0,1,1,0
0,1,0,9,6,-1.0,0,1,2,8,1
0,1,0,8,0,0.0,0,0,2,1,0
0,1,1,2,0,-1.0,0,0,0,1,0
0,1,0,3,0,-3.0,0,0,0,0,0
0,1,2,9,11,0.0,0,0,2,2,0
0,1,1,7,10,0.0,0,1,1,2,1
0,1,0,2,0,0.0,0,0,0,0,0
1,0,0,5,0,-1.0,1,0,1,2,0
1,1,1,5,22,-1.0,0,1,1,3,1
0,1,0,10,0,-1.0,0,1,2,1,1
1,0,2,1,0,0.0,0,0,0,1,0
0,1,1,5,7,-1.0,1,1,1,0,1
0,0,1,9,1,0.0,1,0,2,0,0
0,1,2,1,8,-1.0,0,0,0,24,0
0,1,1,9,10,-1.0,1,0,2,40,0
0,0,1,5,0,0.0,0,0,1,37,0
0,1,0,5,0,0.0,0,1,1,7,1
0,0,1,5,3,-1.0,0,0,1,0,0
0,1,0,5,2,-1.0,0,1,1,1,1
0,1,1,7,4,-1.0,0,1,1,83,1
0,0,2,10,19,-1.0,0,1,2,30,1
1,0,0,8,1,-1.0,0,1,2,17,1
0,0,0,2,0,-1.0,0,0,0,1,0
0,0,2,1,0,0.0,0,0,0,0,0
0,0,0,7,0,-1.0,0,1,1,0,0
0,1,1,7,5,-1.0,0,1,1,22,1
0,1,1,6,6,-1.0,0,1,1,6,0
0,1,1,9,4,0.0,0,1,2,0,1
0,1,1,4,1,-1.0,1,0,0,3,0
0,1,1,2,0,-1.0,1,0,0,0,0
0,1,1,6,8,-29.0,0,1,1,0,1
1,1,1,2,0,-2.0,1,0,0,0,0
1,1,2,1,0,-1.0,1,0,0,-1,0
0,1,1,2,4,-1.0,0,0,0,1,0
0,0,1,5,4,-1.0,0,0,1,2,0
1,1,0,4,1,0.0,1,1,0,1,1
1,1,0,9,2,-1.0,0,1,2,5,1
1,1,0,4,0,0.0,0,1,0,2,1
0,1,2,6,11,-1.0,0,0,1,140,0
1,1,2,7,0,-1.0,0,0,1,11,0
